movie_title,content_rating,genres,directors,runtime,tomatometer_status,tomatometer_rating,audience_rating,tomatometer_top_critics_count
Alfie,PG,"Classics, Comedy, Drama, Romance",Lewis Gilbert,114,Fresh,96,76,6
Neverwas,PG-13,"Drama, Mystery & Suspense",Joshua Michael Stern,102,Rotten,14,65,1
The Second Chance,PG-13,"Drama, Faith & Spirituality",Steve Taylor,104,Rotten,44,78,8
Moonlight,R,"Drama, Mystery & Suspense",Paula Van der Oest,90,Fresh,60,67,6
Aliens,R,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,137,Certified-Fresh,97,94,17
Rise: Blood Hunter,R,"Horror, Mystery & Suspense",Sebastian Gutierrez,97,Rotten,36,20,2
All About Eve,PG,"Classics, Drama",Joseph L. Mankiewicz,138,Certified-Fresh,99,94,22
When Do We Eat?,R,Comedy,Salvador Litvak,87,Rotten,42,68,19
The Mostly Unfabulous Social Life of Ethan Green,R,"Comedy, Drama",George Bamber,88,Rotten,30,58,13
Dirty,R,Drama,Chris Fisher,97,Rotten,21,42,10
Stay Alive,PG-13,"Horror, Mystery & Suspense",William Brent Bell,85,Rotten,10,55,18
All of Me,PG,"Comedy, Science Fiction & Fantasy",Carl Reiner,93,Certified-Fresh,85,67,10
All Quiet on the Western Front,NR,Drama,Delbert Mann,156,Fresh,100,69,0
Dreamland,PG-13,"Art House & International, Drama",Jason Matzner,88,Fresh,67,65,5
Independent Lens,NR,"Documentary, Special Interest","Mark Francis, Marc Francis, Nick Francis",77,Certified-Fresh,84,84,22
All the King's Men,PG,"Classics, Drama",Robert Rossen,109,Certified-Fresh,95,78,9
Street Fight,NR,"Documentary, Special Interest",Marshall Curry,86,Fresh,100,93,11
Lost Horizon,G,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy",Charles Jarrott,143,Rotten,20,45,2
The Motel,NR,"Comedy, Drama",Michael Kang,76,Fresh,88,64,14
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,"Documentary, Sports & Fitness","Paul Crowder, John Dower",97,Certified-Fresh,81,80,22
Requiem,NR,"Art House & International, Drama, Horror, Mystery & Suspense",Hans-Christian Schmid,92,Fresh,86,66,17
Gui si (Silk),PG-13,"Art House & International, Horror, Mystery & Suspense",Chao-Bin Su,117,Rotten,40,57,2
Park,R,"Art House & International, Comedy, Drama",Kurt Voelker,86,Rotten,36,48,6
The 4th Dimension,NR,"Drama, Science Fiction & Fantasy","Tom Mattera, Dave Mazzoni",82,Fresh,63,31,2
"Bon Cop, Bad Cop",R,"Action & Adventure, Comedy",Eric Canuel,116,Fresh,78,82,2
Amazing Grace,PG,"Drama, Mystery & Suspense",Michael Apted,116,Fresh,67,85,37
The Silence,R,"Action & Adventure, Drama, Mystery & Suspense, Television",Cate Shortland,104,Rotten,50,38,4
Cocaine Cowboys,R,Documentary,Billy Corben,116,Fresh,69,79,25
Gone,R,"Horror, Mystery & Suspense",Ringan Ledwidge,88,Rotten,54,20,4
The Situation,R,"Drama, Mystery & Suspense",Philip Haas,106,Rotten,35,58,25
Snow Blind,NR,"Documentary, Sports & Fitness",Christopher J. Scott,105,Rotten,20,,4
Four Sheets to the Wind,R,"Art House & International, Drama",Sterlin Harjo,81,Fresh,100,61,2
The Tiger's Tail,R,"Comedy, Drama, Mystery & Suspense",John Boorman,106,Rotten,14,30,5
It's a Boy Girl Thing,PG-13,"Comedy, Romance",Nick Hurran,95,Fresh,67,61,0
Slipstream,R,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",Anthony Hopkins,97,Rotten,25,29,14
Delirious,NR,"Comedy, Drama",Tom DiCillo,107,Certified-Fresh,83,57,25
Interview,R,"Art House & International, Drama",Steve Buscemi,84,Rotten,58,55,44
American Anthem,PG-13,"Action & Adventure, Documentary, Drama",Albert Magnoli,102,Rotten,0,65,6
The Ten,R,Comedy,David Wain,99,Rotten,35,40,28
The Happening,R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,89,Rotten,17,24,42
Molière,PG-13,Comedy,"Laurent Tirard, Laurent Sivot",120,Fresh,69,79,32
Straightheads (Closure),R,"Drama, Mystery & Suspense",Dan Reed,88,Rotten,40,32,7
Borderland,R,"Drama, Horror, Mystery & Suspense",Zev Berman,104,Fresh,100,43,0
Spiral,PG-13,"Drama, Mystery & Suspense","Adam Green, Joel David Moore",90,Rotten,55,59,1
Alexandra,NR,Drama,Aleksandr Sokurov,95,Certified-Fresh,88,69,24
Blood and Tears: The Arab-Israeli Conflict,PG-13,Documentary,Isidore Rosmarin,73,Rotten,50,33,2
The Cool School,NR,"Documentary, Musical & Performing Arts",Morgan Neville,86,Fresh,92,63,12
Pathology,R,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann",93,Rotten,45,39,6
Disney's A Christmas Carol,PG,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,95,Rotten,52,58,47
Deep Water,PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell",93,Certified-Fresh,96,87,22
Road to Victory,NR,"Art House & International, Drama, Sports & Fitness",Mike Reilly,99,Fresh,78,78,0
Beverly Hills Chihuahua,PG,Comedy,Raja Gosnell,91,Rotten,40,52,29
Fireflies in the Garden,R,Drama,Dennis Lee (III),98,Rotten,22,45,23
The Eye,PG-13,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud",97,Rotten,21,43,13
Day of the Dead,R,"Horror, Mystery & Suspense",Steve Miner,87,Rotten,13,22,0
My Best Friend's Girl,R,"Comedy, Drama",Howard Deutch,103,Rotten,14,46,17
The Burrowers,R,"Horror, Mystery & Suspense, Western",J.T. Petty,96,Fresh,75,34,1
The Midnight Meat Train,R,"Drama, Horror, Mystery & Suspense",Ryuhei Kitamura,100,Fresh,73,50,5
The Lucky Ones,R,"Comedy, Drama",Neil Burger,115,Rotten,37,54,29
Run Fatboy Run,PG-13,Comedy,David Schwimmer,100,Rotten,47,64,39
Closing Escrow,PG,Comedy,"Armen Kaprelian, Kent G. Llewellyn, Kent Llewellyn",95,Rotten,54,36,7
Whiteout,R,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,101,Rotten,7,21,28
Randy and the Mob,PG,"Comedy, Documentary",Ray McKinnon,99,Rotten,56,39,4
Black Irish,R,Drama,Brad Gann,94,Rotten,31,58,3
Wild Child,PG-13,Comedy,"Nicholas Moore, Nick Moore",98,Rotten,41,61,9
Powder Blue,R,Drama,Timothy Linh Bui,108,Rotten,25,40,2
King Corn,NR,"Documentary, Musical & Performing Arts, Special Interest","Curt Ellis, Ian Cheney, Aaron Woolf",90,Fresh,96,78,12
L' Avocat de la Terreur (Terror's Advocate),R,"Art House & International, Documentary, Special Interest",Barbet Schroeder,138,Certified-Fresh,87,67,18
Darfur Now,PG,"Documentary, Drama, Musical & Performing Arts, Special Interest",Ted Braun,99,Fresh,73,73,29
Laaga Chunari Mein Daag - Journey of a Woman,NR,"Art House & International, Drama",Pradeep Sarkar,138,Rotten,50,58,1
Rails & Ties,PG-13,Drama,Alison Eastwood,101,Rotten,34,58,22
Mr. Untouchable,R,Documentary,Marc Levin,92,Fresh,73,54,15
House,R,"Drama, Horror, Mystery & Suspense",Robby Henson,88,Rotten,0,27,1
Canvas,PG-13,Drama,Joseph Greco,101,Fresh,78,62,16
Skid Row,R,"Documentary, Special Interest","Ross Clarke, Niva Dorell, Marshall Tyler",80,Fresh,83,55,2
Saawariya,PG,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,146,Rotten,38,46,10
Aaja Nachle,NR,"Art House & International, Drama, Musical & Performing Arts, Romance",Anil Mehta,147,Fresh,67,72,2
Flawless,PG-13,"Drama, Mystery & Suspense",Michael Radford,106,Rotten,55,54,29
What Happens in Vegas,PG-13,"Comedy, Romance",Tom Vaughan,99,Rotten,26,65,38
Appaloosa,R,"Action & Adventure, Western",Ed Harris,116,Certified-Fresh,76,55,43
Good,R,Drama,Vicente Amorim,96,Rotten,32,32,27
The Visitor,PG-13,Drama,,103,Certified-Fresh,89,84,30
Meet Bill,R,Comedy,"Melisa Wallack, Bernie Goldmann",92,Rotten,20,44,6
Married Life,PG-13,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,90,Rotten,54,36,38
Badland,R,Drama,Francesco Lucente,165,Rotten,16,54,7
The Oxford Murders,R,"Art House & International, Drama, Horror, Mystery & Suspense",Álex de la Iglesia,110,Rotten,17,33,3
Untraceable,R,"Drama, Horror, Mystery & Suspense",Gregory Hoblit,101,Rotten,16,52,41
The Informers,R,"Drama, Mystery & Suspense",Gregor Jordan,98,Rotten,12,18,38
Meeting Resistance,NR,"Documentary, Special Interest","Molly Bingham, Steve Connors",84,Fresh,82,47,11
The Freshman,PG,"Comedy, Drama",Andrew Bergman,102,Certified-Fresh,94,61,17
Guta-yubalja-deul (A Bloody Aria),NR,"Art House & International, Drama, Mystery & Suspense",Shin-yeon Won,115,Rotten,42,40,12
Kenny,PG-13,Comedy,Clayton Jacobson,100,Fresh,100,86,11
The Rocker,PG-13,"Comedy, Drama",Peter Cattaneo,102,Rotten,41,46,39
The Perfect Holiday,PG-13,"Kids & Family, Romance",Lance Rivera,96,Rotten,19,52,25
La Graine et le Mulet (The Secret of the Grain) (Couscous),NR,"Art House & International, Drama",Abdel Kechiche,151,Certified-Fresh,93,76,19
Land of the Lost,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy","Brad Silberling, Adam McKay",102,Rotten,26,32,50
[Rec],R,"Art House & International, Horror, Special Interest","Jaume Balagueró, Paco Plaza",78,Fresh,89,82,5
Look,R,"Comedy, Drama",Adam Rifkin,98,Fresh,60,56,11
And God Created Woman,R,"Classics, Comedy, Drama, Romance",Roger Vadim,98,Rotten,38,33,1
The Box,PG-13,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,113,Rotten,44,24,30
Man in the Chair,PG-13,"Comedy, Drama",Michael Schroeder,109,Rotten,50,68,15
Undoing,R,"Drama, Mystery & Suspense",Chris Chan Lee,90,Rotten,31,26,5
Black Water,R,"Horror, Mystery & Suspense","David Nerlich, Andrew Traucki",90,Fresh,80,39,8
21,PG-13,"Drama, Mystery & Suspense",Robert Luketic,122,Rotten,35,66,40
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),NR,"Art House & International, Drama, Romance",Jacques Rivette,137,Fresh,70,52,30
Ben X,NR,"Art House & International, Drama, Mystery & Suspense",Nic Balthazar,93,Fresh,68,80,15
Body of Lies,R,"Drama, Mystery & Suspense",Ridley Scott,128,Rotten,55,62,54
Passengers,PG-13,"Drama, Mystery & Suspense",Rodrigo García,92,Rotten,19,35,11
The Grand,R,Comedy,Zak Penn,104,Rotten,40,43,17
The Hammer,R,Comedy,Charles Herman-Wurmfeld,93,Certified-Fresh,80,90,17
Shutter,PG-13,"Horror, Mystery & Suspense",Masayuki Ochiai,85,Rotten,9,33,13
Priest,PG-13,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Scott Stewart,87,Rotten,15,46,18
The Broken,R,"Horror, Mystery & Suspense",Sean Ellis (II),88,Rotten,49,25,10
The Escapist,R,"Art House & International, Mystery & Suspense",Rupert Wyatt,103,Fresh,64,63,13
Sugar,R,"Drama, Sports & Fitness","Anna Boden, Ryan Fleck",118,Certified-Fresh,92,80,45
Quid Pro Quo,R,"Drama, Mystery & Suspense",Carlos Brooks,81,Fresh,61,54,17
Red,R,"Drama, Mystery & Suspense","Trygve Allister Diesen, Lucky McKee",95,Fresh,70,68,11
The Guitar,R,Drama,Amy Redford,95,Rotten,33,55,10
The Road,R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",John Hillcoat,110,Certified-Fresh,73,68,53
G-Force,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV",88,Rotten,22,39,37
The Other Man,R,Drama,Richard Eyre,90,Rotten,15,18,17
The Duchess,PG-13,Drama,Saul Dibb,109,Fresh,62,67,48
The Women,PG-13,"Comedy, Drama",Diane English,114,Rotten,14,38,44
Public Enemies,R,"Action & Adventure, Drama",Michael Mann,140,Fresh,68,59,58
Night and Day (Bam gua nat),NR,"Art House & International, Drama",Hong Sang-soo,,Fresh,93,68,5
Julia,R,"Art House & International, Drama, Mystery & Suspense",Erick Zonca,144,Certified-Fresh,72,67,20
Angel and the Badman,PG,"Classics, Western, Romance",James Edward Grant,100,Fresh,71,67,0
Fade to Black,R,Mystery & Suspense,Oliver Parker,105,Rotten,29,34,4
Angel Heart,R,"Drama, Mystery & Suspense",Alan Parker,113,Fresh,79,81,3
Old Dogs,PG,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker",88,Rotten,5,44,35
Surrogates,PG-13,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Jonathan Mostow,88,Rotten,37,38,27
The Promotion,R,Comedy,Steven Conrad,86,Rotten,53,28,28
Notorious,R,"Drama, Musical & Performing Arts",George Tillman Jr.,122,Rotten,52,65,50
Soul Men,R,"Comedy, Musical & Performing Arts",Malcolm D. Lee,100,Rotten,46,58,33
Igor,PG,"Animation, Comedy, Kids & Family","Anthony Leondis, Tony Leondis",86,Rotten,39,38,30
The Matador,NR,"Documentary, Special Interest","Stephen Higgins, Nina Gilden Seavey",75,Fresh,73,65,6
The Auteur,NR,Comedy,James Westby,80,Fresh,67,41,1
The Caller,PG-13,"Drama, Mystery & Suspense",Richard Ledes,95,Rotten,13,19,6
Sin Nombre,R,"Drama, Mystery & Suspense",Cary Joji Fukunaga,96,Certified-Fresh,88,89,40
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),NR,"Art House & International, Drama",Vadim Glowna,99,Rotten,28,17,7
The Stone Angel,R,Drama,Kari Skogland,115,Rotten,44,58,11
Alvin and the Chipmunks: The Squeakquel,PG,"Animation, Comedy, Kids & Family",Betty Thomas,89,Rotten,20,49,30
Un Conte de Noël (A Christmas Tale),NR,"Art House & International, Comedy, Drama",Arnaud Desplechin,150,Certified-Fresh,86,66,39
The Rebound,R,"Comedy, Romance",Bart Freundlich,97,Rotten,41,46,3
Ripple Effect,R,Drama,Philippe Caland,83,Rotten,29,,3
"1,000 Times Good Night",NR,Drama,Erik Poppe,117,Fresh,71,65,22
Harold,PG-13,Comedy,T. Sean Shannon,94,Rotten,31,41,6
Push,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",Paul McGuigan,111,Rotten,23,42,31
Felon,R,"Action & Adventure, Drama, Mystery & Suspense",Ric Roman Waugh,104,Fresh,63,82,13
Scar,R,"Drama, Horror, Mystery & Suspense",Jed Weintrob,78,Rotten,0,11,7
The Unborn,PG-13,"Horror, Mystery & Suspense",David S. Goyer,88,Rotten,10,30,25
Bitch Slap,R,Action & Adventure,Rick Jacobson,104,Rotten,29,29,4
Forever Strong,PG-13,Drama,Ryan Little,112,Rotten,29,75,10
Chocolate,R,"Action & Adventure, Art House & International",Prachya Pinkaew,110,Fresh,74,73,11
Fireproof,PG,Drama,Alex Kendrick,122,Rotten,38,82,7
Dostana,R,"Art House & International, Comedy","Tarun Mansukhani, Raj Khosla",145,Fresh,87,68,4
The Garden,NR,"Documentary, Special Interest",Scott Hamilton Kennedy,80,Fresh,79,85,10
Splinter,R,"Horror, Mystery & Suspense",Toby Wilkins,82,Fresh,73,49,16
Leaves of Grass,R,"Comedy, Drama, Mystery & Suspense",Tim Blake Nelson,104,Fresh,61,49,15
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),NR,Romance,Aditya Chopra,96,Fresh,78,71,2
The Proposal,PG-13,"Comedy, Romance",Anne Fletcher,108,Rotten,45,67,47
Gigantic,R,"Comedy, Romance",Matt Aselton,99,Rotten,36,34,27
Fuel,NR,"Documentary, Special Interest",,111,Fresh,72,82,7
Hush,NR,Mystery & Suspense,Mark Tonderai,91,Rotten,50,37,2
Anna Karenina,NR,"Classics, Drama, Romance",Clarence Brown,95,Fresh,93,69,0
Orphan,R,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,123,Rotten,56,63,42
My Sister's Keeper,PG-13,Drama,,108,Rotten,48,72,42
The Hangover,R,Comedy,Todd Phillips,99,Certified-Fresh,78,84,51
The Stepfather,PG-13,"Horror, Mystery & Suspense",Nelson McCormick,101,Rotten,11,35,15
Okuribito (Departures),PG-13,"Art House & International, Drama",Yojiro Takita,130,Certified-Fresh,80,92,37
Boogie (Summer Holiday),NR,"Comedy, Drama",Radu Muntean,102,Fresh,100,67,4
Prima Ballerina,NR,"Art House & International, Special Interest",Laurent Gentot,,Fresh,81,100,10
Season of the Witch,PG-13,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Dominic Sena,95,Rotten,11,30,30
Shuttle,R,Mystery & Suspense,Edward Anderson,106,Rotten,50,36,7
Miss March,R,Comedy,"Zach Cregger, Trevor Moore",89,Rotten,5,29,21
An American Affair,R,"Drama, Mystery & Suspense","William Olsson, William Sten Olsson",93,Rotten,16,41,17
Grace,R,"Drama, Horror",Paul Solet,94,Fresh,71,31,4
Endgame,PG-13,"Drama, Mystery & Suspense",Pete Travis,109,Fresh,71,57,2
The Red Baron (Der rote Baron),PG-13,"Action & Adventure, Drama, Romance",Nikolai Muellerschoen,106,Rotten,20,43,9
The Objective,NR,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Daniel Myrick,90,Rotten,33,32,3
Happy Tears,R,"Comedy, Drama",Mitchell Lichtenstein,96,Rotten,27,21,15
The Missing Person,NR,"Comedy, Drama, Mystery & Suspense",Noah Buschel,95,Fresh,64,44,12
Polanski (Polanski Unauthorized),NR,"Art House & International, Drama",Damian Chapa,89,Rotten,0,38,2
Mammoth (Mammut),R,"Art House & International, Drama",Lukas Moodysson,125,Rotten,45,63,19
Crude,NR,"Documentary, Special Interest",Joe Berlinger,104,Certified-Fresh,95,85,28
The Messenger,R,"Drama, Romance",Oren Moverman,112,Certified-Fresh,90,75,41
Lake Mungo,R,"Horror, Mystery & Suspense",Joel Anderson,89,Fresh,95,62,2
Venkovský Ucitel (The Country Teacher),NR,"Art House & International, Drama",Bohdan Sláma,115,Fresh,81,72,10
The Apartment,NR,"Classics, Comedy, Drama, Romance",Billy Wilder,125,Certified-Fresh,93,94,17
Chatham (The Golden Boys),PG,"Comedy, Romance",Daniel Adams,97,Rotten,28,22,6
The Ape,NR,"Classics, Drama, Horror, Science Fiction & Fantasy",William Nigh,62,Rotten,43,12,0
Fame,PG,"Drama, Musical & Performing Arts, Romance",Kevin Tancharoen,107,Rotten,24,36,36
Outrage,R,Documentary,Kirby Dick,90,Certified-Fresh,77,76,24
Skin,PG-13,"Art House & International, Drama, Mystery & Suspense",Anthony Fabian,107,Certified-Fresh,84,79,28
Helen,PG,Drama,"Christine Molloy, Joe Lawlor (II)",79,Fresh,67,36,10
Bakjwi (Thirst),R,"Art House & International, Drama, Horror",Park Chan-wook,133,Certified-Fresh,81,75,35
Vengeance (Fuk sau),R,"Action & Adventure, Art House & International, Mystery & Suspense",Johnnie To,108,Fresh,91,60,10
New World Order,NR,"Documentary, Special Interest","Luke Meyer, Andrew Neel",85,Rotten,56,48,4
April Fool's Day,R,Horror,Fred Walton,89,Rotten,50,47,1
Blood: The Last Vampire,R,"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Chris Nahon,89,Rotten,25,33,15
Shrink,R,"Comedy, Drama",Jonas Pate,104,Rotten,27,50,32
Ong Bak 2,R,"Action & Adventure, Art House & International","Panna Rittikrai, Prachya Pinkaew, Tony Jaa",97,Rotten,48,53,21
Bananas!,NR,"Art House & International, Documentary, Special Interest",Fredrik Gertten,87,Fresh,86,44,4
Last Ride,PG-13,Drama,Glendyn Ivin,100,Fresh,93,65,10
Tron Legacy,PG,"Action & Adventure, Science Fiction & Fantasy",Joseph Kosinski,125,Rotten,51,63,54
The Canyon,R,"Drama, Mystery & Suspense",Richard Harrah,102,Rotten,27,32,6
"Manson, My Name Is Evil",R,"Comedy, Drama, Science Fiction & Fantasy",Reginald Harkema,85,Fresh,67,27,2
Broken Hill,PG,"Drama, Kids & Family",Dagen Merrill,102,Rotten,50,61,2
A Beautiful Life,NR,Drama,Alejandro Chomski,81,Rotten,0,24,8
Suck,R,"Comedy, Horror, Musical & Performing Arts",Rob Stefaniuk,91,Rotten,50,53,2
Chloe,R,"Drama, Mystery & Suspense",Atom Egoyan,96,Rotten,51,39,46
Armed and Dangerous,PG-13,Comedy,Mark L. Lester,88,Rotten,10,39,2
The Hole,PG-13,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Joe Dante,92,Fresh,81,46,8
NoBody's Perfect,NR,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness",Niko von Glasow,84,Fresh,73,87,6
The Good Soldier,NR,"Documentary, Drama, Special Interest, Television","Michael Uys, Lexy Lovell",79,Fresh,75,80,5
High Life,R,Comedy,Gary Yates,80,Fresh,80,43,2
Around the World in 80 Days,G,"Action & Adventure, Comedy, Drama, Kids & Family",Michael Anderson,170,Fresh,69,57,9
The Fall,R,"Drama, Mystery & Suspense",John Krueger,115,Rotten,20,,2
The Good Heart,R,Drama,Dagur Kári,98,Rotten,30,58,17
Wonderful World,R,"Drama, Romance",Joshua Goldin,95,Rotten,42,33,15
Collapse,NR,"Documentary, Special Interest",Chris Smith,80,Certified-Fresh,83,83,19
Three Blind Mice,PG,"Comedy, Drama",Matthew Newton,94,Fresh,80,50,1
The Last Song,PG,"Drama, Kids & Family, Romance",Julie Ann Robinson,108,Rotten,21,66,35
Babies,PG,"Documentary, Special Interest","Thomas Balmès, Thomas Balmès",79,Fresh,68,62,36
Lottery Ticket,PG-13,Comedy,Erik White,95,Rotten,34,44,24
Going the Distance,R,"Comedy, Romance",Nanette Burstein,98,Rotten,54,52,39
Life as We Know It,PG-13,"Comedy, Drama","Gary Berlanti, Greg Berlanti",113,Rotten,29,61,41
The Final,R,"Drama, Horror, Mystery & Suspense",Joey Stewart,,Rotten,13,32,1
Frozen,R,"Drama, Horror, Mystery & Suspense",Adam Green,93,Fresh,63,46,32
Prodigal Sons,PG,"Documentary, Special Interest",Kimberly Reed,86,Fresh,87,79,12
The Ghost Writer,PG-13,"Drama, Mystery & Suspense","Hervé de Luze, Roman Polanski",129,Certified-Fresh,84,70,47
Repo Men,R,"Action & Adventure, Science Fiction & Fantasy",Miguel Sapochnik,111,Rotten,22,41,35
7 Days (Les 7 jours du talion),R,"Art House & International, Horror, Mystery & Suspense",Daniel Grou,105,Fresh,80,68,2
Daddy Longlegs,NR,"Comedy, Drama","Benny Safdie, Josh Safdie",,Fresh,78,52,18
Veer,NR,"Art House & International, Classics, Drama",Anil Sharma,156,Rotten,40,47,0
Winter's Bone,R,Drama,Debra Granik,99,Certified-Fresh,94,76,44
The Kids Are All Right,R,"Comedy, Drama",Lisa Cholodenko,104,Certified-Fresh,92,74,49
